Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_1206,1,100uF,C15008
"C10, C9",C_0805,2,10uF,C15850
C11,C_0805,1,100nF,C49678
C12,C_0402,1,100nF,C1525
C13,C_1206,1,22uF,C12891
C2,C_0603,1,10uF,C19702
"C3, C4, C5",C_0603,3,22uF,C59461
C6,0201,1,56p,GRM0335C1E560JA01D
C7,1210,1,47u,C77101
C8,C_0603,1,100nF,C14663
D1,D_SOD-123FL,1,1N4001W,C18199085
D2,D_SMC,1,S10JC,C18199110
D3,D_0805,1,Yellow,C2296
D4,D_0805,1,Green,C2297
D5,D_0603,1,Red,C2286
D6,D_SOD-123,1,B5819W,C64885
D7,D_0805,1,Red,C84256
F2,FUSE_2016L300_LTF,1,2016L300/16MR,C315902
F4,1812,1,3A,C163516
"H1, H2, H3",Hole_Tooling_JLCPCB,3,~,
"H4, H5, H6, H7","Hole, 3mm",4,~,
J10,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
L1,IND_VLS6045EX-2R2N,1,VLS6045EX-2R2N,C404501
L2,1210,1,L,C3002561
R1,R_0805,1,10Ω,C17415
R11,R_0603,1,10kΩ,C25804
R12,R_0402,1,33kΩ,C25779
"R2, R3",R_0805,2,10kΩ,C17414
R4,R_0402,1,10kΩ,C25744
R5,R_0603,1,68Ω,C27592
R7,R_0603,1,510kΩ,C23192
R8,R_0402,1,100kΩ,C25741
R9,R_0402,1,22kΩ,C25768
"RL1, RL2, RL3, RL4, RL5, RL6, RL7",R_0603,7,3.6kΩ,C22980
S2,SW_TS-1088-AR02016,1,Safety reset,C720477
"TP1, TP2, TP3, TP4, TP7, TP8",TestPoint_Pad_D1.5mm,6,TestPoint,
U1,SOT-23-6,1,TPS54202DDC,C191884
U4,SOT95P280X110-6N,1,TPS563200DDCR,C97253
U5,SOIC8_LCB_ALM-M,1,ACS71240LLCBTR-030B3,C2654896
