Designator,Mid X,Mid Y,Rotation,Layer
A1,26.855,23.27,270.0,top
C1,88.2485,41.33,270.0,top
C10,56.095,37.09,180.0,top
C11,54.995,33.99,270.0,top
C12,42.595,48.39,180.0,top
C13,40.095,42.14,90.0,top
C2,61.595,11.115,0.0,top
C3,61.595,34.65,0.0,top
C4,61.595,33.14,0.0,top
C5,61.595,31.65,0.0,top
C6,48.995,47.79,270.0,top
C7,33.395,39.59,180.0,top
C8,58.375,48.39,0.0,top
C9,56.095,39.14,180.0,top
D1,84.4985,50.33,90.0,top
D2,75.195,87.39,0.0,top
D3,77.285,18.14,180.0,top
D4,77.345,15.64,180.0,top
D5,77.345,13.14,180.0,top
D6,68.92,20.29,90.0,top
D7,33.345,9.39,90.0,top
F1,70.6585,70.52,90.0,top
F2,63.58195,21.463,0.0,top
F4,32.795,35.79,180.0,top
H1,13.97,98.0,0.0,top
H2,89.32,3.29,0.0,top
H3,87.845,98.0,0.0,top
H4,6.595,7.39,0.0,top
H5,93.875,7.15,0.0,top
H6,94.605,95.4,0.0,top
H7,6.655,95.375,0.0,top
J1,3.655,71.16,0.0,top
J10,58.37,4.74,0.0,top
J11,86.4,85.385,90.0,top
J12,86.4,74.135,90.0,top
J13,86.4,62.885,90.0,top
J14,97.95,21.375,0.0,top
J15,45.365,3.89,90.0,top
J2,91.945,42.925,0.0,top
J3,72.665,5.315,90.0,top
J4,83.325,54.89,90.0,top
J5,3.655,49.87,0.0,top
J6,32.695,77.37,0.0,top
J7,32.695,54.82,0.0,top
J8,44.935,34.59,270.0,top
J9,68.855,16.04,270.0,top
K2,75.495,41.33,270.0,top
L1,59.07,27.54,0.0,top
L2,36.25,43.55,270.0,top
R1,64.92,9.865,270.0,top
R11,56.395,52.59,90.0,top
R12,62.095,36.89,180.0,top
R2,59.22,11.15,270.0,top
R3,57.22,11.15,270.0,top
R4,60.595,37.39,90.0,top
R5,37.775,6.915,0.0,top
R6,87.675,27.56,0.0,top
R7,44.845,46.14,0.0,top
R8,47.845,47.64,270.0,top
R9,46.845,47.64,90.0,top
RL1,25.235,79.1,90.0,top
RL2,25.235,74.02,90.0,top
RL3,25.235,68.9,90.0,top
RL4,25.235,63.82,90.0,top
RL5,25.295,55.31,90.0,top
RL6,25.295,50.27,90.0,top
RL7,25.295,45.19,90.0,top
S1,51.845,74.39,90.0,top
S2,86.9985,32.58,180.0,top
U1,41.345,46.14,180.0,top
U2,18.995,71.03,0.0,top
U3,19.095,47.25,0.0,top
U4,58.19,33.94,90.0,top
U5,63.8391,51.485,180.0,top
